model,ad_id,period,budget,target_CPA,target_conversion,conversion,CPA,budget_used,win_rate,spend,total_win,trajectory_length,CPA_violation
best_model.pt,40094971,20260207,12.328767,1.53,[5.22223499],4.857736832071621,2.537964634776769,0.9999999226464211,0.4864864864864865,12.328766822814947,18,1,0.6588004459055101
best_model.pt,46573939,20260207,432.71964,80.19,[3.05107332],0.0114874076,144.49348054120227,0.003836202163469049,0.00023920575380683115,1.6600000000000001,9,72,0.8018889654827197
best_model.pt,49311445,20260207,431.85236,1.8,[279.38898166],86.47127584766127,4.994171147927384,0.9999999999999998,0.7204968944099379,431.85235595703114,116,1,1.7745396001265232
best_model.pt,49847522,20260207,937.1593,1.84,[756.13697984],247.10339664025432,3.792579586955648,1.0000000000000004,0.7836538461538461,937.159301757813,163,1,1.061184520737061
best_model.pt,51225207,20260207,105.26316,2.7,[3.96279239],15.679669834044041,6.713352711271001,0.9999999999999999,0.12008802645657037,105.26316070556639,48,3,1.4864268861884917
best_model.pt,51225953,20260207,54.45402,1.07,[16.52033907],22.10198739263261,2.463761200418009,1.0,0.9583333333333334,54.45402145385742,23,1,1.3025804482643535
best_model.pt,51711872,20260207,117.17214,1.34,[105.968494],38.457550138449115,3.0467915548492184,1.0000000000000009,0.9227053140096618,117.1721420288087,191,1,1.2737249842951188
best_model.pt,51867779,20260207,240.31079,6.1,[60.62360374],36.19630921657752,6.639096349261733,0.9999999999999998,0.03249999769989462,240.31079101562494,50,11,0.08837646771432806
best_model.pt,52697878,20260207,256.73526,1.7,[146.14289987],63.561199563601576,4.039182043971421,1.0000000000000002,0.4324381926683717,256.7352600097657,119,2,1.3759893709855409
best_model.pt,53375682,20260207,125.0,2.2,[2.06456001],9.082556081690925,13.7626440302788,1.0000000000000002,0.02692710455890208,125.00000000000003,231,11,5.255747150900696
best_model.pt,53854143,20260207,571.02985,1.09,[366.8150792],251.80027968780243,2.2677887595344037,0.9999999999999998,0.8106060606060606,571.0298461914061,142,2,1.0805400826503544
best_model.pt,54547571,20260207,31.74728,6.5,[5.58273037],0.0,0.0,0.0,0.0,0.0,0,66,-1.0
best_model.pt,55113470,20260207,420.41623,3.33,[34.42696221],74.3539403544095,5.654256137467202,0.9999999999999987,0.0674221757951189,420.4162292480463,813,6,0.6979748549586796
