model,ad_id,period,budget,target_CPA,target_conversion,conversion,CPA,budget_used,win_rate,spend,total_win,trajectory_length,CPA_violation
best_model.pt,39801836,20260207,10.45719,1.15,[3.74633022],4.170313868588274,2.507529980218608,0.9999999088020518,0.6206896551724138,10.457189559936522,18,1,1.180460897569432
best_model.pt,40094971,20260207,12.328767,1.53,[5.22223499],5.019870582709976,2.4559924730503293,0.9999999226464209,0.3684210526315789,12.328766822814945,14,1,0.6052238686118644
best_model.pt,43248022,20260207,6.67476,1.18,[7.75141488],3.089792997451231,2.16026048024986,0.9999998571223239,0.32,6.674759864807131,8,1,0.8307293019283333
best_model.pt,46398308,20260207,19.79101,1.49,[24.21141073],8.116112140332852,2.438483737320406,0.999999903625512,0.7777777777777778,19.791009902954105,28,1,0.6365662561831502
best_model.pt,46573939,20260207,432.71964,80.19,[3.05107332],2.5974723295,159.43651467432704,0.9570448417614648,0.004712689183941118,414.1320946149999,273,72,0.9882343162518937
best_model.pt,48623756,20260207,146.44096,1.33,[36.67160579],50.80970710386031,2.8821453460385302,1.0,0.8292682926829268,146.4409637451172,34,1,1.1670265060449938
best_model.pt,49311445,20260207,431.85236,1.8,[279.38898166],90.76037748567566,4.758159487239123,1.0,0.6703296703296703,431.85235595703125,122,1,1.643422007381837
best_model.pt,49847522,20260207,937.1593,1.84,[756.13697984],251.96363236049785,3.7194228756693986,1.0000000000000004,0.7488584474885844,937.159301757813,164,1,1.0214254392375246
best_model.pt,49902302,20260207,13.93352,5.21,[2.90565631],0.9201695554310527,15.142323599509764,0.9999999315553981,0.029197080291970802,13.933520317077637,4,1,1.906396063078609
best_model.pt,49990380,20260207,24.528301,1.48,[8.08145047],9.214054421563686,2.6620527136845737,0.9999999222388672,0.27692307692307694,24.52830123901367,54,1,0.7986842428225638
best_model.pt,50103278,20260207,969.91003,1.21,[753.35619906],373.8072579533219,2.5946795064801123,1.0000000000000013,0.8949044585987261,969.9100341796888,281,1,1.144363160891859
best_model.pt,50250900,20260207,29.411764,1.1,[1.50838678],6.9992608445329845,4.202123709355228,0.9999999351501494,1.0,29.41176414489746,7,1,2.8201123802515013
best_model.pt,51094622,20260207,377.10074,304.69,[3.04871814],0.0795649801573808,4739.472042944594,1.0,0.0028183866399348616,377.1007385253906,6,25,14.55506253887022
best_model.pt,51225207,20260207,105.26316,2.7,[3.96279239],14.495172861248314,7.261945369760552,0.9999999999999996,0.022545301306363254,105.26316070556636,38,8,1.6896093487074015
best_model.pt,51225953,20260207,54.45402,1.07,[16.52033907],22.10198739263261,2.463761200418009,1.0,0.9583333333333334,54.45402145385742,23,1,1.3025804482643535
best_model.pt,51316356,20260207,1083.6785,6.0,[160.74719048],93.27152570093301,11.618534671053416,0.9999999999999996,0.04829083016820401,1083.6784667968745,178,19,0.9364224451755693
best_model.pt,51711872,20260207,117.17214,1.34,[105.968494],39.797757702372124,2.944189468182908,1.0000000000000007,0.8863636363636364,117.17214202880868,195,1,1.1971562648096312
best_model.pt,51815043,20260207,131.59317,7.1,[23.00516249],7.3222135740393215,17.971771905261427,1.0000000000000002,0.03206151854846477,131.59317016601565,44,13,1.5312355136139235
best_model.pt,51865028,20260207,10.87915,6.1,[1.49543616],0.764479903945803,14.2307680080342,0.999999912339273,0.5714285714285714,10.879150390625,4,1,1.3329128246750992
best_model.pt,51867779,20260207,240.31079,6.1,[60.62360374],23.39059054626245,10.27382272655793,0.9999999999999999,0.04616588419405321,240.31079101562497,59,18,0.6842332601932671
best_model.pt,51981983,20260207,9.803922,7.0,[1.88451035],0.007720451882689957,1269.699254553729,0.9999998807907104,0.025,9.803921699523926,1,4,180.38560779338985
best_model.pt,52099940,20260207,736.64813,5.0,[182.11165784],60.34334589178359,12.20761144795768,1.0000000000000002,0.03798327421082013,736.6481323242189,570,18,1.441522289591536
best_model.pt,52158782,20260207,402.12405,1.34,[294.70586683],156.99335288267883,2.561408136140501,1.0000000000000009,0.5575868372943327,402.12405395507847,305,1,0.9114985614457857
