model,ad_id,period,budget,target_CPA,target_conversion,conversion,CPA,budget_used,win_rate,spend,total_win,trajectory_length,CPA_violation
best_model.pt,39801836,20260207,10.45719,1.15,[3.74633022],0.0,0.0,0.0,0.0,0.0,0,27,-1.0
best_model.pt,40094971,20260207,12.328767,1.53,[5.22223499],0.0,0.0,0.0,0.0,0.0,0,37,-1.0
best_model.pt,43248022,20260207,6.67476,1.18,[7.75141488],0.0,0.0,0.0,0.0,0.0,0,28,-1.0
best_model.pt,46398308,20260207,19.79101,1.49,[24.21141073],0.0,0.0,0.0,0.0,0.0,0,22,-1.0
best_model.pt,46573939,20260207,432.71964,80.19,[3.05107332],0.0,0.0,0.0,0.0,0.0,0,72,-1.0
best_model.pt,48623756,20260207,146.44096,1.33,[36.67160579],76.70369303163434,1.9091774600154405,0.9999999999999998,0.030409356725146195,146.44096374511716,52,19,0.4354717281290806
best_model.pt,49311445,20260207,431.85236,1.8,[279.38898166],127.45367248462017,3.388308427290191,0.9999999999999992,0.019581433899709906,431.8523559570309,189,19,0.8823936205831742
best_model.pt,49847522,20260207,937.1593,1.84,[756.13697984],323.6808284976726,2.8953191426635025,1.0000000000000004,0.039757243947661086,937.1593017578128,206,18,0.5735429837721951
best_model.pt,49902302,20260207,13.93352,5.21,[2.90565631],0.0,0.0,0.0,0.0,0.0,0,69,-1.0
best_model.pt,49990380,20260207,24.528301,1.48,[8.08145047],0.0,0.0,0.0,0.0,0.0,0,31,-1.0
best_model.pt,50103278,20260207,969.91003,1.21,[753.35619906],637.3001072539123,1.521904706460926,0.9999999999999992,0.011348486326537248,969.9100341796867,349,17,0.25777244502538416
best_model.pt,50250900,20260207,29.411764,1.1,[1.50838678],0.0,0.0,0.0,0.0,0.0,0,41,-1.0
best_model.pt,51094622,20260207,377.10074,304.69,[3.04871814],0.0,0.0,0.0,0.0,0.0,0,72,-1.0
best_model.pt,51225207,20260207,105.26316,2.7,[3.96279239],0.0,0.0,0.0,0.0,0.0,0,72,-1.0
best_model.pt,51225953,20260207,54.45402,1.07,[16.52033907],0.0,0.0,0.0,0.0,0.0,0,31,-1.0
best_model.pt,51316356,20260207,1083.6785,6.0,[160.74719048],104.73734422105015,10.346629127459275,1.0,0.03791257805530776,1083.678466796875,170,19,0.7244381879098792
best_model.pt,51711872,20260207,117.17214,1.34,[105.968494],56.26535515533702,2.0824917859814196,0.9999999999999988,0.041834869094632146,117.17214202880845,218,20,0.5540983090356657
best_model.pt,51815043,20260207,131.59317,7.1,[23.00516249],8.783338160637571,14.982134671031359,1.0,0.003047053966668499,131.59317016601562,30,17,1.110159841165054
best_model.pt,51865028,20260207,10.87915,6.1,[1.49543616],0.0,0.0,0.0,0.0,0.0,0,72,-1.0
best_model.pt,51867779,20260207,240.31079,6.1,[60.62360374],30.026951963750484,8.00316939603349,0.9999999999999999,0.020027945971122497,240.31079101562497,43,19,0.31199500346804654
