model,ad_id,period,budget,target_CPA,target_conversion,conversion,CPA,budget_used,win_rate,spend,total_win,trajectory_length,CPA_violation
best_model.pt,39801836,20260207,10.45719,1.15,[3.74633022],4.840326794256917,2.160430037887941,0.9999999088020524,0.04162962962962963,10.457189559936527,26,25,0.8786348545026837
best_model.pt,40094971,20260207,12.328767,1.53,[5.22223499],2.2261668849259073,5.53811188558462,0.9999999226464207,0.13425925925925927,12.328766822814941,15,27,2.619681038656552
best_model.pt,43248022,20260207,6.67476,1.18,[7.75141488],3.0183156886672213,2.21141800324288,0.9999998571223234,0.0037383177570093455,6.674759864807128,10,25,0.8740831369003833
best_model.pt,46398308,20260207,19.79101,1.49,[24.21141073],0.0,0.0,0.0,0.0,0.0,0,22,-1.0
best_model.pt,48623756,20260207,146.44096,1.33,[36.67160579],0.0,0.0,0.0,0.0,0.0,0,22,-1.0
best_model.pt,49311445,20260207,431.85236,1.8,[279.38898166],143.55318320812972,3.008309138799125,0.9999999999999992,0.004351851851851852,431.8523559570309,188,24,0.67128289916228
best_model.pt,49847522,20260207,937.1593,1.84,[756.13697984],415.7893907889615,2.2539278785483745,1.0000000000000004,0.026173620985785566,937.159301757813,181,26,0.22496078133744415
best_model.pt,49902302,20260207,13.93352,5.21,[2.90565631],0.7415046615277298,18.790848189035128,0.9999999315553981,0.00030959752321981426,13.933520317077637,3,19,2.6066886854992077
best_model.pt,49990380,20260207,24.528301,1.48,[8.08145047],6.302496532013548,3.8918382933784765,0.9999999222388672,0.0294907908992416,24.52830123901367,41,26,1.6296204346097616
best_model.pt,50103278,20260207,969.91003,1.21,[753.35619906],395.0749548384052,2.455002575704656,1.0000000000000004,0.07121315241960532,969.9100341796878,350,31,1.0289276845514106
best_model.pt,50250900,20260207,29.411764,1.1,[1.50838678],4.636435758099999,1.826943931716906,0.28799732681652856,0.005249870420197784,8.470509999999999,11,41,0.6608580837445124
best_model.pt,51225207,20260207,105.26316,2.7,[3.96279239],18.039617102962026,5.83511026146849,1.0000000000000004,0.005289299193024694,105.26316070556645,50,21,1.1611519105247172
best_model.pt,51225953,20260207,54.45402,1.07,[16.52033907],19.24296655820153,2.829814127636909,0.9999999999999998,0.03367003367003367,54.45402145385741,10,27,1.6446859709510366
best_model.pt,51316356,20260207,1083.6785,6.0,[160.74719048],135.0267065926007,8.025660153593634,0.9999999999999996,0.00915792234035579,1083.6784667968745,139,26,0.337610025598939
best_model.pt,51711872,20260207,117.17214,1.34,[105.968494],43.71424971503758,2.6804106238175023,0.9999999999999998,0.16684201397810783,117.17214202880857,183,29,1.0003063858582637
best_model.pt,51815043,20260207,131.59317,7.1,[23.00516249],7.061142380081961,18.63624105654235,1.0000000000000002,0.0050473459967377695,131.59317016601565,38,25,1.6248227192767537
best_model.pt,51865028,20260207,10.87915,6.1,[1.49543616],0.997179198979453,10.909914177757518,0.9999999123392727,0.005208333333333333,10.879150390624996,33,22,0.7885105489054386
best_model.pt,51867779,20260207,240.31079,6.1,[60.62360374],28.79053834732695,8.346866591019127,0.9999999999999999,0.022280024939599408,240.31079101562497,62,26,0.36833880680558767
best_model.pt,51981983,20260207,9.803922,7.0,[1.88451035],0.8163186950969872,12.009904646927719,0.9999999027252305,0.025510204081632654,9.803921699523926,13,21,0.715700663846817
best_model.pt,52099940,20260207,736.64813,5.0,[182.11165784],93.59903855430542,7.8702531119117145,1.0000000000000016,0.011630390434514795,736.6481323242199,922,26,0.574050622382343
best_model.pt,52158782,20260207,402.12405,1.34,[294.70586683],155.64824042916027,2.5835438310306613,0.9999999999999997,0.05374915261903313,402.124053955078,376,26,0.9280177363254675
best_model.pt,52697878,20260207,256.73526,1.7,[146.14289987],54.826764379740624,4.682662897064388,1.0000000000000002,0.05652559284331912,256.7352600097657,136,26,1.7545075092466085
best_model.pt,52880899,20260207,73.77049,8.0,[2.41228638],6.195202307867543,11.907679036138614,1.0,0.09601568022620653,73.77049255371094,64,26,0.4884598795173267
best_model.pt,52881127,20260207,73.77049,8.1,[4.14286714],6.026429643123627,12.241158477097171,1.0,0.037983223839279816,73.77049255371094,166,27,0.5112540618024071
best_model.pt,52896858,20260207,237.28813,6.1,[3.67395475],6.920476558721256,34.28782619413804,1.0,0.029290878992498773,237.2881317138672,38,23,4.620955201671165
best_model.pt,53225658,20260207,121.21212,5.1,[4.51230342],13.552944511773134,8.943599747439274,1.0000000000000007,0.039070462667723384,121.21212005615243,338,24,0.7536470420941349
best_model.pt,53375682,20260207,125.0,2.2,[2.06456001],4.862059105130097,25.709266709415818,0.9999999999999998,0.014437041379260435,124.99999999999997,146,19,10.686030069173855
best_model.pt,53566239,20260207,136.80566,1.01,[212.67307573],79.35839304422704,1.7238965796895687,1.0000000000000002,0.037250052345058626,136.80566406250003,74,24,0.7068283128387642
best_model.pt,53572696,20260207,22.93578,1.09,[42.935085],6.514051620279375,3.520969342515003,0.9999999168396057,0.020378874856486796,22.935779571533203,8,26,2.230247004306309
best_model.pt,53577684,20260207,121.21212,5.0,[14.21841216],10.20062366315578,11.882813460823181,1.0000000000000007,0.010098847860603348,121.21212005615241,153,25,1.3765626921646361
best_model.pt,53730651,20260207,61.29961,2.47,[50.53852614],11.960895838745307,5.125001157051177,1.0,0.012012012012012012,61.29961013793945,32,24,1.074899229833131
best_model.pt,53763548,20260207,488.99796,2.04,[373.13468654],140.5088106244658,3.4801942288800904,1.0000000000000002,0.014063485225292263,488.9979553222657,162,25,0.7059775950774368
best_model.pt,53841870,20260207,200.65753,1.98,[20.96828807],68.29611919061689,2.9380516957367266,1.0,0.011458333333333333,200.65753173828125,55,25,0.4838644785021504
best_model.pt,53849804,20260207,55.555557,2.48,[0.25223668],3.7933928078204455,14.645344002102672,1.0000000000000002,0.19850870455709163,55.55555725097658,36,4,4.905380600591321
best_model.pt,53854143,20260207,571.02985,1.09,[366.8150792],325.7163234048395,1.7531508352699616,0.9999999999999998,0.014367816091954025,571.0298461914061,130,24,0.6083952124623665
best_model.pt,53919091,20260207,88.28999,2.0,[52.92278121],8.968254319803897,9.844723431453714,1.0000000000000002,0.02074069763170418,88.28999328613284,51,26,3.922361715726857
best_model.pt,54113091,20260207,148.76033,4.6,[7.87243864],10.52764609137613,14.130444239725174,1.0,0.0016326029563084345,148.7603302001953,59,23,2.071835767973535
