model,ad_id,period,budget,target_CPA,target_conversion,conversion,CPA,budget_used,win_rate,spend,total_win,trajectory_length,CPA_violation
best_model.pt,52816063,20260207,1000.0,20.92,[0.02518664],1.2475660233,32.07900969050887,0.04002071463000001,0.00947144722555721,40.02071463000001,70,72,0.5334134595372231
best_model.pt,52964940,20260207,0.64461,18.58,[0.0552909],0.0,0.0,0.0,0.0,0.0,0,63,-1.0
best_model.pt,55954706,20260207,1000.0,33.01,[0.71305768],0.020561654999999998,5.677768751165645,0.00011674999999999999,0.004545454545454545,0.11674999999999999,1,55,-0.827998514393686
best_model.pt,55963763,20260207,1000.0,22.5,[21.29788474],0.0,0.0,0.0,0.0,0.0,0,72,-1.0
best_model.pt,56704977,20260207,70.42254,17.31,[3.39728226],0.0,0.0,0.0,0.0,0.0,0,72,-1.0
best_model.pt,57191417,20260207,1000.0,29.87,[3.46262764],0.0,0.0,0.0,0.0,0.0,0,72,-1.0
best_model.pt,57374168,20260207,122.44898,13.0,[0.78899592],0.05935186195948926,2063.067865579017,1.0,0.018518518518518517,122.44898223876953,1,6,157.69752812146285
best_model.pt,57449176,20260207,1000.0,43.65,[0.10294381],0.0,0.0,0.0,0.0,0.0,0,72,-1.0
best_model.pt,57699816,20260207,73.77049,11.1,[1.97007807],0.0,0.0,0.0,0.0,0.0,0,57,-1.0
best_model.pt,57959122,20260207,1000.0,19.0,[2.9014034],0.0,0.0,0.0,0.0,0.0,0,72,-1.0
best_model.pt,58199587,20260207,142.85715,21.02,[0.49786683],1.1118786081,48.40751607269269,0.37676329850209656,0.000343875958941945,53.82332999999999,38,67,1.30292649945274
best_model.pt,58246735,20260207,46.6873,11.42,[3.30264874],0.0,0.0,0.0,0.0,0.0,0,72,-1.0
best_model.pt,58416741,20260207,1.99049,35.0,[0.04714194],0.0,0.0,0.0,0.0,0.0,0,72,-1.0
best_model.pt,58432699,20260207,116.6156,35.0,[8.01935741],0.0,0.0,0.0,0.0,0.0,0,72,-1.0
best_model.pt,58502564,20260207,145.41257,15.28,[23.00082211],0.0,0.0,0.0,0.0,0.0,0,72,-1.0
best_model.pt,58804408,20260207,32.35294,13.15,[1.08304772],0.0,0.0,0.0,0.0,0.0,0,67,-1.0
best_model.pt,58921051,20260207,5945.7593,16.88,[258.68405894],0.0,0.0,0.0,0.0,0.0,0,72,-1.0
best_model.pt,59180301,20260207,127.4666,11.1,[19.23594044],0.0,0.0,0.0,0.0,0.0,0,72,-1.0
best_model.pt,59183637,20260207,42.81511,27.0,[3.81456357],0.0,0.0,0.0,0.0,0.0,0,72,-1.0
best_model.pt,59252106,20260207,75.31489,12.1,[1.33867442],0.0,0.0,0.0,0.0,0.0,0,71,-1.0
best_model.pt,59284251,20260207,112.676056,19.0,[2.13421797],0.0,0.0,0.0,0.0,0.0,0,72,-1.0
best_model.pt,59335998,20260207,1000.0,22.43,[3.71101974],0.0,0.0,0.0,0.0,0.0,0,47,-1.0
best_model.pt,59473469,20260207,1000.0,10.59,[0.51064411],0.330141939,17.50632625221768,0.005779589999999999,0.0002768980806127968,5.77959,4,72,0.6530997167114901
best_model.pt,59474185,20260207,28.301888,20.0,[0.08119878],0.0,0.0,0.0,0.0,0.0,0,67,-1.0
best_model.pt,59978838,20260207,57.75445,45.0,[0.23929871],0.0175422385,78.5157198883205,0.023849590087386494,8.480450209773518e-05,1.37742,2,72,0.7447937752960112
best_model.pt,59998752,20260207,1236.131,28.8,[17.71599115],0.0,0.0,0.0,0.0,0.0,0,72,-1.0
best_model.pt,60078895,20260207,1000.0,25.95,[13.76798323],0.0,0.0,0.0,0.0,0.0,0,72,-1.0
best_model.pt,60083626,20260207,1000.0,36.35,[1.28636283],0.39946504709999997,20.673021048851997,0.008258170000000002,1.9418876932157985e-05,8.258170000000002,2,72,-0.431278626777113
best_model.pt,60145854,20260207,131.14754,12.1,[3.257562],0.0,0.0,0.0,0.0,0.0,0,72,-1.0
best_model.pt,60191018,20260207,70.42254,15.06,[0.48831325],0.37444804350049365,188.0697520255019,1.0,0.008956755050505052,70.42253875732422,2,2,11.488030995040875
best_model.pt,60319297,20260207,48.387096,10.0,[4.14991009],0.0,0.0,0.0,0.0,0.0,0,72,-1.0
best_model.pt,60491784,20260207,521.9422,19.24,[26.43604857],0.0,0.0,0.0,0.0,0.0,0,65,-1.0
best_model.pt,60580455,20260207,27.137043,15.0,[0.16572463],0.0,0.0,0.0,0.0,0.0,0,72,-1.0
best_model.pt,60679080,20260207,33.333332,26.0,[0.15494413],0.2010553101,88.98984563628476,0.5367591204757355,0.0028981770138651287,17.89197,26,72,2.422686370626337
